"","DJ","spprice","spdividend","spearnings","cpi","LRIR","ffrate","CPIrent","mktyield1yr","mktyield3yr","mktyield5yr","mktyield10yr","mktyield20yr","employeecomp","PCE","PS","newhousingunits","mktvalueprivatedebt","mktvaluegrossfeddebt","ratespread","BAA10yr","industrialprod","securitiesinbankcredit","commercialbankcredit","pctchangeTCC","nonrevolvingconsumercredit","m1","m2","incomeonassets"
"mktyield5yr",-0.691774270697096,-0.64648862409595,-0.822552513232602,-0.705504222624579,-0.883184127537678,0.988890486629346,0.934251001747598,-0.873134949409115,0.960194021388664,0.993328579221749,1,0.988982633746479,0.184552223469782,-0.87379204154298,-0.885119351804383,0.0948939293011236,0.353346602627851,-0.861322651327546,-0.900528229022493,-0.141641053751993,-0.487306992236208,-0.836740027473666,-0.748492914571292,-0.886166224874259,0.296269253329466,-0.871861171032421,-0.671043943096794,-0.859383025487125,-0.859333230539431
"mktyield10yr",-0.759856125163158,-0.718267059441133,-0.875379456279461,-0.767766676545634,-0.919223885402786,0.999966993558915,0.89044906550386,-0.912669739778271,0.915913169616249,0.966884692150088,0.988982633746479,1,0.177128724109617,-0.916164553517058,-0.922526028200793,0.113440025751488,0.298934036238025,-0.895849500905744,-0.93363131514728,-0.0241334029400754,-0.423407633271557,-0.876530263092687,-0.797745407071982,-0.922467622032149,0.272541268284529,-0.909955904382818,-0.726140691445614,-0.897830980627714,-0.907505537732418
"mktyield20yr",-0.152201002340357,-0.149902253900265,-0.202591930595221,-0.0901344376890326,-0.119167272564446,0.177269322145625,0.153202627233729,-0.160243704960149,0.17924963732699,0.185552987364755,0.184552223469782,0.177128724109617,1,-0.11519133223554,-0.113937966123299,-0.280704290260835,0.306272024224007,-0.228713415001517,-0.185238517615433,0.00565789462833039,-0.0443202668423702,0.0194274777159913,-0.202862202891744,-0.151818529625478,0.48321730304531,-0.151440654846935,-0.21406402948084,-0.203858965292497,-0.112016914267328
"employeecomp",0.908204741175496,0.873070955599987,0.970083312212044,0.890189171559843,0.995868807363393,-0.916205572318937,-0.747643360057589,0.994030096238211,-0.755414824053395,-0.832314315743902,-0.87379204154298,-0.916164553517058,-0.11519133223554,1,0.998665258746797,-0.226517754157336,-0.216905156559333,0.944051827864171,0.980412439642835,-0.127609053496419,0.251339678630634,0.946124248339949,0.915858219632863,0.994431599702081,-0.237636264357483,0.984831771091079,0.849814748007914,0.977076881444175,0.993057397286114
"PCE",0.89517978502439,0.857435151101633,0.966233594380943,0.885937498765691,0.997730995224702,-0.922554049223917,-0.766024461020743,0.993974101753415,-0.772920867720365,-0.846718738161646,-0.885119351804383,-0.922526028200793,-0.113937966123299,0.998665258746797,1,-0.237652844078965,-0.237501541047274,0.946291469234105,0.982807494978766,-0.099520338841364,0.261495466121492,0.946025005187969,0.911190678637086,0.995883017561792,-0.240372066799227,0.985160028912007,0.840604679815537,0.976455926705012,0.991192907734715
"PS",-0.0666652922432569,-0.0116006119431438,-0.103595110199847,-0.210700419409516,-0.221346864140448,0.113337570483386,0.0600750334804259,-0.167386486290829,0.0558283250455522,0.082540537744215,0.0948939293011236,0.113440025751488,-0.280704290260835,-0.226517754157336,-0.237652844078965,1,-0.107714073678952,-0.0333115773570394,-0.116188489868964,0.0871923094394715,0.0224899313360916,-0.40969969420304,-0.0420122479835548,-0.18954826092667,-0.175058455329886,-0.171171089480205,0.0587314799483694,-0.103880068439331,-0.208206027412739
"newhousingunits",-0.0591358424809908,-0.0283714166880836,-0.237003707586306,-0.0870789951218376,-0.262806882810128,0.298782476625302,0.365272587649516,-0.250107599127001,0.386156250367771,0.379417225903503,0.353346602627851,0.298934036238025,0.306272024224007,-0.216905156559333,-0.237501541047274,-0.107714073678952,1,-0.346038097073312,-0.309292595020528,-0.22488494684861,-0.401912441924105,-0.131404831680887,-0.165550438281091,-0.262919593201701,0.360664816226322,-0.221695952492313,-0.110361745346901,-0.244325101592517,-0.201979462215974
"mktvalueprivatedebt",0.907148848655805,0.883636349130376,0.973012404864585,0.864670760999019,0.955233249987975,-0.895960079002145,-0.755141676289078,0.966578395347896,-0.75566051455776,-0.823495896072903,-0.861322651327546,-0.895849500905744,-0.228713415001517,0.944051827864171,0.946291469234105,-0.0333115773570394,-0.346038097073312,1,0.987647090907225,-0.071888945746197,0.2128196348196,0.814666872290168,0.942547225583589,0.95624591902493,-0.245320905209312,0.949576032647136,0.901718619646767,0.972675596481265,0.943109775792364
"mktvaluegrossfeddebt",0.902129929563399,0.871642226219048,0.977806130426915,0.880326670543471,0.987197325966081,-0.933666890792949,-0.79157443421575,0.989592581877963,-0.796127445770347,-0.864408377416976,-0.900528229022493,-0.93363131514728,-0.185238517615433,0.980412439642835,0.982807494978766,-0.116188489868964,-0.309292595020528,0.987647090907225,1,-0.0648482278029293,0.251949695267233,0.887619029450642,0.931899224144412,0.985699661987744,-0.250506038490634,0.975798152313938,0.87798395111396,0.984190433283777,0.976427343700215
"ratespread",-0.257830036363387,-0.291716509252326,-0.175836792801875,-0.298457883818262,-0.087197265107835,-0.023581213815326,-0.476439939275615,-0.108496723312477,-0.400419417687432,-0.24320152670279,-0.141641053751993,-0.0241334029400754,0.00565789462833039,-0.127609053496419,-0.099520338841364,0.0871923094394715,-0.22488494684861,-0.071888945746197,-0.0648482278029293,1,0.30301175627402,-0.15005329594403,-0.143301404691322,-0.101704099424868,-0.0927903354044504,-0.118334968732874,-0.167535193000978,-0.100087048888326,-0.160408240342048
"BAA10yr",0.0494315410109739,0.0123800303210229,0.185256755315444,-0.0713617712603518,0.256356615887339,-0.423162027729952,-0.510307066071296,0.255924412837899,-0.543322095731828,-0.518355726631826,-0.487306992236208,-0.423407633271557,-0.0443202668423702,0.251339678630634,0.261495466121492,0.0224899313360916,-0.401912441924105,0.2128196348196,0.251949695267233,0.30301175627402,1,0.244858505111583,0.145586721712359,0.284076228891037,-0.304018561840463,0.277869165992934,0.065723317956029,0.250571731512249,0.206277477249215
"industrialprod",0.78320975956929,0.733358353652704,0.865268014687712,0.86064267002089,0.933534502757683,-0.876506245282297,-0.702569494447684,0.910685241594851,-0.720562091077484,-0.797073990552043,-0.836740027473666,-0.876530263092687,0.0194274777159913,0.946124248339949,0.946025005187969,-0.40969969420304,-0.131404831680887,0.814666872290168,0.887619029450642,-0.15005329594403,0.244858505111583,1,0.763817418747253,0.925301365888238,-0.147029466665401,0.915520229488194,0.669326703165494,0.871415496607376,0.938835677545434
"securitiesinbankcredit",0.970667111664517,0.959473736470931,0.953585495151115,0.857557437111071,0.913328457779172,-0.797826219109908,-0.636354681061174,0.941309886211088,-0.629277926359549,-0.702762301072156,-0.748492914571292,-0.797745407071982,-0.202862202891744,0.915858219632863,0.911190678637086,-0.0420122479835548,-0.165550438281091,0.942547225583589,0.931899224144412,-0.143301404691322,0.145586721712359,0.763817418747253,1,0.92710951590122,-0.202645312159162,0.934647844629511,0.973897936680297,0.968200510959138,0.91442081470145
"commercialbankcredit",0.901998968805266,0.86522141309281,0.975192252820828,0.877636056228909,0.993039944509077,-0.922507674801202,-0.764979013280153,0.996779585067267,-0.773638244421101,-0.847464913513454,-0.886166224874259,-0.922467622032149,-0.151818529625478,0.994431599702081,0.995883017561792,-0.18954826092667,-0.262919593201701,0.95624591902493,0.985699661987744,-0.101704099424868,0.284076228891037,0.925301365888238,0.92710951590122,1,-0.270100081345981,0.992149294122494,0.854060993237404,0.987019820913515,0.987035893646554
"pctchangeTCC",-0.146601213724398,-0.138651051327431,-0.234804632066007,-0.0451324053647038,-0.249046768350756,0.272302794829842,0.281929605738036,-0.262363698722855,0.305604384550443,0.308121703052516,0.296269253329466,0.272541268284529,0.48321730304531,-0.237636264357483,-0.240372066799227,-0.175058455329886,0.360664816226322,-0.245320905209312,-0.250506038490634,-0.0927903354044504,-0.304018561840463,-0.147029466665401,-0.202645312159162,-0.270100081345981,1,-0.240594919230115,-0.162665887254648,-0.255792945288606,-0.216333538602595
"nonrevolvingconsumercredit",0.91582196507153,0.878594503103931,0.973494352623559,0.888049726012519,0.978253254202461,-0.91003846043852,-0.746404788966412,0.990777353040104,-0.757106510173164,-0.8313937361624,-0.871861171032421,-0.909955904382818,-0.151440654846935,0.984831771091079,0.985160028912007,-0.171171089480205,-0.221695952492313,0.949576032647136,0.975798152313938,-0.118334968732874,0.277869165992934,0.915520229488194,0.934647844629511,0.992149294122494,-0.240594919230115,1,0.859687515532853,0.99049059418736,0.975937417606954
"m1",0.953100313531099,0.964868614206617,0.902897217020449,0.808403213965082,0.848770998913907,-0.726124235835598,-0.562349375056719,0.878763952667671,-0.549555051482152,-0.622906917006293,-0.671043943096794,-0.726140691445614,-0.21406402948084,0.849814748007914,0.840604679815537,0.0587314799483694,-0.110361745346901,0.901718619646767,0.87798395111396,-0.167535193000978,0.065723317956029,0.669326703165494,0.973897936680297,0.854060993237404,-0.162665887254648,0.859687515532853,1,0.911863048517089,0.853278622715229
"m2",0.941330807878776,0.913106837873193,0.984817324597944,0.881489092029183,0.974923645819117,-0.897899821055845,-0.744048101089911,0.991672270460489,-0.748548181289748,-0.819792429189026,-0.859383025487125,-0.897830980627714,-0.203858965292497,0.977076881444175,0.976455926705012,-0.103880068439331,-0.244325101592517,0.972675596481265,0.984190433283777,-0.100087048888326,0.250571731512249,0.871415496607376,0.968200510959138,0.987019820913515,-0.255792945288606,0.99049059418736,0.911863048517089,1,0.970097027520194
"incomeonassets",0.909770834385297,0.875796671411155,0.975694849268315,0.901397453695543,0.989883291996446,-0.907568161026884,-0.72509737636795,0.987061864620007,-0.73224808174558,-0.813876843454336,-0.859333230539431,-0.907505537732418,-0.112016914267328,0.993057397286114,0.991192907734715,-0.208206027412739,-0.201979462215974,0.943109775792364,0.976427343700215,-0.160408240342048,0.206277477249215,0.938835677545434,0.91442081470145,0.987035893646554,-0.216333538602595,0.975937417606954,0.853278622715229,0.970097027520194,1
